,Model,Scenario,Region,Variable,Unit,Year,Value,Unit for Costs,Indirect Emission Costs,Indirect Emission Costs baseline,Indirect Emission Costs diff,Value_diff
43,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Gas,EJ/yr,2070,44.55670794,Million US$,62790.08602,416839.31401,-354049.22799,-68.92444706
44,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Oil,EJ/yr,2070,2.456111899e-05,Million US$,0,0,0,2.229370400000014e-07
45,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Coal,EJ/yr,2080,2.210591387,Million US$,4645.94624,45293.28984,-40647.3436,-44.767085553
46,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Gas,EJ/yr,2080,26.8260033,Million US$,22497.39576,369097.35735,-346599.96159,-90.6779845
47,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Oil,EJ/yr,2080,0,Million US$,0,0,0,0
48,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Coal,EJ/yr,2090,1.375254317,Million US$,951.25239,2207.15025,-1255.89786,-55.762007133
49,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Gas,EJ/yr,2090,16.28181334,Million US$,1171.8617,339163.04312,-337991.18142,-105.70577096
50,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Oil,EJ/yr,2090,0,Million US$,0,0,0,0
51,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Coal,EJ/yr,2100,0.5917322242,Million US$,93.65784,116.80111,-23.14327,-61.1609275558
52,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Gas,EJ/yr,2100,3.404056603,Million US$,15.7971,396127.4526,-396111.6555,-127.387914397
53,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Oil,EJ/yr,2100,0,Million US$,0,0,0,0
54,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Coal,EJ/yr,2020,27.42234573,Million US$,216505.6992,216505.6992,0,0
55,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Gas,EJ/yr,2020,32.12260647,Million US$,329438.81341,329438.81341,0,0
56,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Oil,EJ/yr,2020,1.137887923,Million US$,0,0,0,0
57,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Coal,EJ/yr,2030,4.554660766,Million US$,56613.93604,248669.29802,-192055.36198,-23.940602014
58,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Gas,EJ/yr,2030,42.91645322,Million US$,286579.84464,466528.25184,-179948.4072,-1.46450084
59,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Oil,EJ/yr,2030,0.6093842813,Million US$,0,0,0,-0.0426802918
60,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Coal,EJ/yr,2040,2.031514914,Million US$,1998.96015,292639.59543,-290640.63528,-21.200501226
61,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Gas,EJ/yr,2040,47.88973371,Million US$,78191.09188,612527.98464,-534336.89276,-15.86925302
62,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Oil,EJ/yr,2040,0.274103676,Million US$,0,0,0,-0.0090101415
63,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Coal,EJ/yr,2050,0.9840112949,Million US$,3245.53956,273379.11344,-270133.57388,-21.8225898351
64,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Gas,EJ/yr,2050,40.77791605,Million US$,16113.53328,617602.54248,-601489.0092,-43.17188825
65,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Oil,EJ/yr,2050,0.0966239784,Million US$,0,0,0,-0.0008827905
66,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Coal,EJ/yr,2060,0.83276505,Million US$,3179.2821,215705.97774,-212526.69564,-29.59285199
67,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Gas,EJ/yr,2060,27.80527012,Million US$,9703.60666,544386.2034,-534682.59674,-75.88815268
68,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Oil,EJ/yr,2060,0.0253345395,Million US$,0,0,0,0.0001418322
69,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Coal,EJ/yr,2070,0.2008605376,Million US$,2519.10038,101958.56142,-99439.46104,-40.5679844524
70,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Gas,EJ/yr,2070,16.40691436,Million US$,4692.46495,416839.31401,-412146.84906,-97.07424064
71,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Oil,EJ/yr,2070,2.4698108399999995e-05,Million US$,0,0,0,3.5992644999999635e-07
72,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Coal,EJ/yr,2080,0.057874423,Million US$,1054.1694,45293.28984,-44239.12044,-46.919802517
73,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Gas,EJ/yr,2080,2.852679136,Million US$,365.22896,369097.35735,-368732.12839,-114.651308664
74,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Oil,EJ/yr,2080,0,Million US$,0,0,0,0
75,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Coal,EJ/yr,2090,0.0009120118,Million US$,47.75206,2207.15025,-2159.39819,-57.1363494382
76,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Gas,EJ/yr,2090,0.4229720243,Million US$,19.019,339163.04312,-339144.02412,-121.5646122757
77,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Oil,EJ/yr,2090,0,Million US$,0,0,0,0
78,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Coal,EJ/yr,2100,0.0007350773,Million US$,10.9016,116.80111,-105.89951,-61.7519247027
79,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Gas,EJ/yr,2100,0.1493608444,Million US$,14.50845,396127.4526,-396112.94415,-130.6426101556
80,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Oil,EJ/yr,2100,0,Million US$,0,0,0,0
81,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Fossils,EJ/yr,2020,60.682840123,Million US$,573446.53991,573446.53991,0,0
82,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Fossils,EJ/yr,2030,73.5282814131,Million US$,742298.46683,742298.46683,0,0
83,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Fossils,EJ/yr,2040,87.2741166875,Million US$,928684.21455,928684.21455,0,0
84,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Fossils,EJ/yr,2050,106.8539121988,Million US$,898995.31408,898995.31408,0,0
85,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Fossils,EJ/yr,2060,134.1442325472,Million US$,764204.72914,764204.72914,0,0
86,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Fossils,EJ/yr,2070,154.2500243282,Million US$,520958.19171,520958.19171,0,0
87,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Fossils,EJ/yr,2080,164.48166474,Million US$,416430.68079,416430.68079,0,0
88,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Fossils,EJ/yr,2090,179.12484575,Million US$,342816.99359,342816.99359,0,0
89,MESSAGEix-GLOBIOM_1.0,Current Policies,World,Fossils,EJ/yr,2100,192.54463078,Million US$,396874.34746,396874.34746,0,0
90,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Fossils,EJ/yr,2020,60.682840123,Million US$,573446.53991,573446.53991,0,0
91,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Fossils,EJ/yr,2030,57.8916327466,Million US$,482049.0462,742298.46683,-260249.42063,-15.6366486665
92,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Fossils,EJ/yr,2040,64.9172886274,Million US$,269585.40978,928684.21455,-659098.80477,-22.3568280601
93,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Fossils,EJ/yr,2050,62.4297348468,Million US$,149865.45535,898995.31408,-749129.85873,-44.424177352
94,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Fossils,EJ/yr,2060,59.8308017538,Million US$,117709.95934,764204.72914,-646494.7698,-74.3134307934
95,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Fossils,EJ/yr,2070,46.7851390651,Million US$,89391.34886,520958.19171,-431566.84285,-107.4648852631
96,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Fossils,EJ/yr,2080,29.036594687,Million US$,78527.57399,416430.68079,-337903.1068,-135.445070053
97,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Fossils,EJ/yr,2090,17.657067657,Million US$,70306.83284,342816.99359,-272510.16075,-161.467778093
98,MESSAGEix-GLOBIOM_1.0,2.0ºC,World,Fossils,EJ/yr,2100,3.9957888272,Million US$,68791.55502,396874.34746,-328082.79244,-188.5488419528
99,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Fossils,EJ/yr,2020,60.682840123,Million US$,573446.53991,573446.53991,0,0
100,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Fossils,EJ/yr,2030,48.0804982673,Million US$,378209.44497,742298.46683,-364089.02186,-25.4477831458
101,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Fossils,EJ/yr,2040,50.1953523,Million US$,171749.21791,928684.21455,-756934.99664,-37.0787643875
102,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Fossils,EJ/yr,2050,41.8585513233,Million US$,220577.52468,898995.31408,-678417.7894,-64.9953608756
103,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Fossils,EJ/yr,2060,28.6633697095,Million US$,353642.56022,764204.72914,-410562.16892,-105.4808628378
104,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Fossils,EJ/yr,2070,16.6077995957,Million US$,485665.14613,520958.19171,-35293.0455799999,-137.6422247325
105,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Fossils,EJ/yr,2080,2.910553559,Million US$,605439.84068,416430.68079,189009.15989,-161.571111181
106,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Fossils,EJ/yr,2090,0.4238840361,Million US$,448309.8721,342816.99359,105492.87851,-178.7009617139
107,MESSAGEix-GLOBIOM_1.0,1.5ºC,World,Fossils,EJ/yr,2100,0.1500959217,Million US$,279663.62565,396874.34746,-117210.72181,-192.3945348583
