,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,CostTotal
224,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2100,0.1500959216858,1.0068722165000001,81.1087776977,17.884350085799998,7.8988555416,140.3017140217,636.293769615,784.4943391782999
225,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2020,26.4810758263,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2030,55.680909879000005,3.9037243242,1.4094453812,94.68683029459999,0.9562275226,23.193787685300002,0.3452473467,24.4952625546
227,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2040,92.420430141,3.7182736867000004,0.0,96.2817263133,0.9112522375,23.596148621799998,0.0,24.5074008593
228,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2050,125.824718109,3.0755636526999997,1.7729064911,95.15152985620001,0.7261992706999999,22.4670920154,0.4186170557,23.6119083418
229,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2060,170.34757512299998,3.2499549014999998,3.5915178712,93.1585272273,0.729366107,20.906958526,0.8060208487,22.442345481700002
230,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2070,235.035750498,3.2113374906,0.7952689716,95.9933935378,0.7680498175,22.9585674526,0.190203051,23.9168203211
231,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2080,295.99901701300007,3.1490133291,1.7498432882,95.1011433827,0.7548914175,22.7979463512,0.4194779578,23.972315726500003
232,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2090,364.5301641790001,3.2046273720999996,1.3321340461,95.4632385818,0.8006915559000001,23.851949121700002,0.33284009600000003,24.985480773600003
233,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2100,432.401700778,3.1411938893,1.334145482,95.5246606287,0.8082828940000001,24.5801284036,0.3432984429,25.7317097405
234,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Fossils,EJ/yr,2020,24.1100221288,0.0,0.0,0.0,,,,
235,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Fossils,EJ/yr,2030,15.49745771488,1.1073612278,83.5243402785,15.368298493800001,0.5408984295,7.506754175,40.7980551883,48.8457077928
236,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Fossils,EJ/yr,2040,14.2895975927,0.5555310915999999,91.53388909780001,7.9105798106,0.3778585731,5.3805816548,62.2590981021,68.01753833
237,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,Asia (No Japan),Fossils,EJ/yr,2050,9.008991522113,0.547662408,90.5951589877,8.8571786043,0.4812873544,7.7837149222000015,79.6152953884,87.880297665
