,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,CostTotal
121,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Renewables,EJ/yr,2060,314.565,3.216435847,1.1114494793,95.67211467370001,0.7039749822,20.939567407000002,0.2432607596,21.8868031488
122,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Renewables,EJ/yr,2070,381.7887,3.25869573,0.989335137,95.75196913299999,0.7646450799,22.467968217600003,0.2321450996,23.464758397100002
123,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Renewables,EJ/yr,2080,457.0712,3.2325703268,0.6183554822999999,96.1490741909,0.7249593239,21.5630785327,0.1386768197,22.426714676299998
124,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Renewables,EJ/yr,2090,522.4942,3.1437983291000005,0.5564959047,96.2997057663,0.7265597806,22.2557192832,0.1286111576,23.110890221400002
125,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Renewables,EJ/yr,2100,578.7954,3.1272441941,0.6344020597,96.2383537462,0.7698683982,23.6920632492,0.1561777933,24.6181094407
217,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2030,35.142900000000004,1.0847712349,83.71761671729999,15.1976120478,0.4689115814,6.5694370101,36.1884227555,43.226771346999996
218,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2040,6.8422,0.9976392252,85.1616997392,13.8406610356,0.6081393101,8.4369678339,51.9127315909,60.9578387349
219,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2050,1.6001,0.4552293416,92.6011239776,6.9436466809000015,0.3638555766,5.5499159123,74.01419961020001,79.9279710991
220,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2060,1.1215,0.4283784429,92.9743911892,6.5972303679,0.5331506503,8.2107718508,115.713939252,124.4578617531
221,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2070,0.6632,0.6328174546,88.4624805764,10.904701969000001,1.2554943464,21.6346618947,175.5073969991,198.39755324019998
222,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2080,0.1744,0.4857157164,91.11085071030001,8.403433573300001,1.3994168175,24.2115004125,262.5034612722,288.1143785022
223,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2090,0.007999999999999998,1.2537370023,76.1607037639,22.5855592339,6.7214223398,121.0836739422,408.3059324,536.111028682
224,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2100,0.0027,1.0068722165,81.1087776977,17.884350085799998,7.8988555416,140.3017140217,636.293769615,784.4943391782999
226,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2030,75.8547,3.9037243242,1.4094453812,94.68683029459999,0.9562275226,23.193787685300002,0.3452473467,24.4952625546
227,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2040,171.2673,3.7182736867,0.0,96.2817263133,0.9112522375,23.596148621799998,0.0,24.5074008593
228,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2050,271.1716,3.0755636527,1.7729064911,95.15152985620001,0.7261992706999999,22.4670920154,0.4186170557,23.6119083418
229,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2060,353.2799,3.2499549015,3.5915178712,93.1585272273,0.729366107,20.906958526,0.8060208487,22.442345481700002
230,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2070,421.9576,3.2113374906,0.7952689716,95.9933935378,0.7680498175,22.9585674526,0.190203051,23.9168203211
231,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2080,495.843,3.1490133291,1.7498432882,95.1011433827,0.7548914175,22.7979463512,0.4194779578,23.972315726500003
232,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2090,556.5469,3.2046273721,1.3321340461,95.4632385818,0.8006915559000001,23.851949121700002,0.33284009600000003,24.985480773600003
233,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Renewables,EJ/yr,2100,615.9005999999998,3.1411938893,1.334145482,95.5246606287,0.8082828940000001,24.5801284036,0.3432984429,25.7317097405
