,Model,Scenario,Region,Variable,Unit,Year,Value,Unit for Costs,Indirect Emission Costs,Indirect Emission Costs baseline,Indirect Emission Costs diff,Value_diff
40,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2060,5.3469,Million US$,93128.4562,544386.2034,-451257.7472,-28.052100000000003
41,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2060,0.0001,Million US$,0.0,0.0,0.0,0.0
42,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2070,1.4458,Million US$,9007.5885,101958.56142,-92950.97292,-7.8003
43,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2070,3.4168,Million US$,62790.08602,416839.31401,-354049.22799,-17.691200000000002
44,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2070,0.0001,Million US$,0.0,0.0,0.0,0.0
45,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2080,0.7236,Million US$,4645.94624,45293.28984,-40647.3436,-3.0164999999999997
46,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2080,1.1679,Million US$,22497.39576,369097.35735,-346599.96159,-13.5096
47,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2080,0.0001,Million US$,0.0,0.0,0.0,0.0
48,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2090,0.1479,Million US$,951.25239,2207.15025,-1255.89786,-0.037699999999999984
49,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2090,0.0641,Million US$,1171.8617,339163.04312,-337991.18142,-10.9433
50,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2090,0.0001,Million US$,0.0,0.0,0.0,0.0
51,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Coal,EJ/yr,2100,0.0141,Million US$,93.65784000000001,116.80111000000001,-23.14327,0.0045000000000000005
52,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Gas,EJ/yr,2100,0.0009,Million US$,15.7971,396127.4526,-396111.6555,-11.3424
53,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Oil,EJ/yr,2100,0.0001,Million US$,0.0,0.0,0.0,0.0
54,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Coal,EJ/yr,2020,31.7173,Million US$,216505.6992,216505.6992,0.0,0.0
55,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Gas,EJ/yr,2020,29.5222,Million US$,329438.81341,329438.81341,0.0,0.0
56,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Oil,EJ/yr,2020,1.4963,Million US$,0.0,0.0,0.0,0.0
57,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Coal,EJ/yr,2030,9.7385,Million US$,56613.93604,248669.29802,-192055.36198,-25.627699999999997
58,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Gas,EJ/yr,2030,25.0475,Million US$,286579.84464,466528.25184,-179948.4072,-18.568400000000004
59,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Oil,EJ/yr,2030,0.3569,Million US$,0.0,0.0,0.0,0.0
60,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Coal,EJ/yr,2040,0.484,Million US$,1998.96015,292639.59543000004,-290640.63528000005,-38.096199999999996
61,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Gas,EJ/yr,2040,6.3581,Million US$,78191.09187999999,612527.9846399999,-534336.8927600001,-43.3568
62,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Oil,EJ/yr,2040,0.0001,Million US$,0.0,0.0,0.0,0.0
63,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Coal,EJ/yr,2050,0.5642,Million US$,3245.53956,273379.11344,-270133.57388000004,-31.8442
64,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Gas,EJ/yr,2050,1.0358,Million US$,16113.533280000001,617602.5424800001,-601489.0092,-44.242799999999995
65,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Oil,EJ/yr,2050,0.0001,Million US$,0.0,0.0,0.0,0.0
66,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Coal,EJ/yr,2060,0.5141,Million US$,3179.2821,215705.97774,-212526.69564000002,-21.7167
67,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Gas,EJ/yr,2060,0.6073,Million US$,9703.60666,544386.2034,-534682.59674,-32.7917
68,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Oil,EJ/yr,2060,0.0001,Million US$,0.0,0.0,0.0,0.0
69,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Coal,EJ/yr,2070,0.387,Million US$,2519.10038,101958.56142,-99439.46104,-8.8591
70,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Gas,EJ/yr,2070,0.2761,Million US$,4692.46495,416839.31401,-412146.84906,-20.8319
71,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Oil,EJ/yr,2070,0.0001,Million US$,0.0,0.0,0.0,0.0
72,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Coal,EJ/yr,2080,0.154,Million US$,1054.1694,45293.28984,-44239.12044,-3.5861
73,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Gas,EJ/yr,2080,0.0203,Million US$,365.22896000000003,369097.35735,-368732.12839,-14.6572
74,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Oil,EJ/yr,2080,0.0001,Million US$,0.0,0.0,0.0,0.0
75,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Coal,EJ/yr,2090,0.0068,Million US$,47.75206,2207.15025,-2159.39819,-0.1788
76,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Gas,EJ/yr,2090,0.0011,Million US$,19.019000000000002,339163.04312,-339144.02411999996,-11.006300000000001
77,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Oil,EJ/yr,2090,0.0001,Million US$,0.0,0.0,0.0,0.0
78,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Coal,EJ/yr,2100,0.0017,Million US$,10.9016,116.80111000000001,-105.89951,-0.007899999999999999
79,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Gas,EJ/yr,2100,0.0009,Million US$,14.50845,396127.4526,-396112.94415,-11.3424
80,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Oil,EJ/yr,2100,0.0001,Million US$,0.0,0.0,0.0,0.0
81,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2020,62.73580000000001,Million US$,573446.53991,573446.53991,0.0,0.0
82,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2030,79.339,Million US$,742298.46683,742298.46683,0.0,0.0
83,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2040,88.2952,Million US$,928684.21455,928684.21455,0.0,0.0
84,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2050,77.6871,Million US$,898995.3140799999,898995.3140799999,0.0,0.0
85,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2060,55.629900000000006,Million US$,764204.72914,764204.72914,0.0,0.0
86,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2070,30.3542,Million US$,520958.19171000004,520958.19171000004,0.0,0.0
87,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2080,18.4177,Million US$,416430.68079,416430.68079,0.0,0.0
88,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2090,11.1931,Million US$,342816.99359,342816.99359,0.0,0.0
89,REMIND-MAgPIE 1.7-3.0,NPi_v3,World,Fossils,EJ/yr,2100,11.353,Million US$,396874.34746,396874.34746,0.0,0.0
90,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Fossils,EJ/yr,2020,62.73580000000001,Million US$,573446.53991,573446.53991,0.0,0.0
91,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Fossils,EJ/yr,2030,44.8667,Million US$,482049.0462,742298.46683,-260249.42063,-34.4723
92,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Fossils,EJ/yr,2040,19.4148,Million US$,269585.40978000005,928684.21455,-659098.8047699999,-68.8804
93,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Fossils,EJ/yr,2050,9.6959,Million US$,149865.45535,898995.3140799999,-749129.85873,-67.9912
94,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Fossils,EJ/yr,2060,7.1868,Million US$,117709.95934000002,764204.72914,-646494.7698,-48.44310000000001
95,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Fossils,EJ/yr,2070,4.8626999999999985,Million US$,89391.34886,520958.19171000004,-431566.84285,-25.491500000000002
96,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Fossils,EJ/yr,2080,1.8916,Million US$,78527.57399,416430.68079,-337903.1068,-16.5261
97,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Fossils,EJ/yr,2090,0.2121,Million US$,70306.83284,342816.99359,-272510.16075,-10.981
98,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_v3,World,Fossils,EJ/yr,2100,0.0151,Million US$,68791.55502,396874.34746,-328082.79244,-11.3379
99,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2020,62.73580000000001,Million US$,573446.53991,573446.53991,0.0,0.0
100,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2030,35.142900000000004,Million US$,378209.44496999995,742298.46683,-364089.02186,-44.196099999999994
101,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2040,6.8422,Million US$,171749.21790999998,928684.21455,-756934.9966399999,-81.45299999999999
102,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2050,1.6001,Million US$,220577.52468000003,898995.3140799999,-678417.7894,-76.087
103,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2060,1.1215,Million US$,353642.56022,764204.72914,-410562.16891999997,-54.50840000000001
104,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2070,0.6632,Million US$,485665.14613,520958.19171000004,-35293.0455799999,-29.691
105,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2080,0.1744,Million US$,605439.84068,416430.68079,189009.15989,-18.2433
106,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2090,0.007999999999999998,Million US$,448309.8721,342816.99359,105492.87851000001,-11.1851
107,REMIND-MAgPIE 1.7-3.0,NPi2020_400_v3,World,Fossils,EJ/yr,2100,0.0027,Million US$,279663.62565,396874.34746,-117210.72180999999,-11.350299999999999
