,Model,Scenario,Region,Variable,Unit,Year,Value,OMCOST_p,FUELCOST_p,CAPCOST_p,OMCOST_MWh,CAPCOST_MWh,FUELCOST_MWh,FUELCOST_NoC_MWh,CARBONCOST_MWh,CostTotal_MWh,OMCOST,CAPCOST,FUELCOST,FUELCOST_NoC,CARBONCOST,CostTotal,Value_diff,CostTotal_MWh_diff,CostTotal_diff,OMCOST_MWh_diff,OMCOST_diff,CAPCOST_MWh_diff,CAPCOST_diff,FUELCOST_MWh_diff,FUELCOST_diff,CARBONCOST_MWh_diff,CARBONCOST_diff
12,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Renewables,EJ/yr,2050,52.6499449886,4.1185814643,0.954605941,94.9268125947,8.775798245499999,97.0908276417,0.4010044439,#WERT!,0.0,106.26763033110001,126361.67939829301,1397999.32630253,5774.015486568001,#WERT!,0.0,1530135.02118739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Renewables,EJ/yr,2060,71.7033045901,3.6008375570999998,0.5522670104999999,95.8468954324,7.8831792536,103.29200012940001,0.4945737328,#WERT!,0.0,111.6697531158,156208.75273209802,2046777.57391544,9800.2015997936,#WERT!,0.0,2212786.52824733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Renewables,EJ/yr,2070,94.18745511120001,3.3761557089,0.7887066881,95.83513760299999,7.300000273999999,111.55317745040001,0.36731610509999996,#WERT!,0.0,119.22049382950001,191744.370097787,2930094.9232422,9648.0537746935,#WERT!,0.0,3131487.34711468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Renewables,EJ/yr,2080,116.14913027530001,3.4565095444,0.4901538482,96.0533366075,7.149822145599999,116.3708124933,0.2958608665,#WERT!,0.0,123.81649550540001,228376.11990709,3717059.54167283,9450.2430045784,#WERT!,0.0,3954885.9045845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Renewables,EJ/yr,2090,134.7271740712,2.8624340438,0.5189227117,96.6186432445,6.8438248935,121.7763279932,0.2649394545,#WERT!,0.0,128.88509234120002,257739.84682133698,4586121.44697282,9977.6741037612,#WERT!,0.0,4853838.96789792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,MESSAGEix-GLOBIOM_1.0,NPi_v3,World,Renewables,EJ/yr,2100,154.188396812,2.6271654838,0.7568979070999999,96.6159366091,6.5822862384,126.8832867842,0.2968328683,#WERT!,0.0,133.7624058909,285956.238733959,5512228.75048511,12895.3994806872,#WERT!,0.0,5811080.38869976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2020,24.1100221288,3.4113351449000002,55.3510830222,41.2375818329,5.1907732630000005,39.048860480100004,20.0298530526,20.0292481326,0.00060492,64.26948679569999,35578.2405724649,267646.00991893397,137287.239189085,137283.092988207,4.1462008779,440511.489680484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2030,31.69774644,2.0987033613,68.5574974224,29.343799216300003,4.8824366535,38.7023403216,23.467482798400003,23.4666659407,0.0008168575999999999,67.0522597735,43414.7505882058,344142.192003509,208673.45240441398,208666.188885557,7.263518856599999,596230.394996129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2040,37.535292542600004,1.9826346953999998,72.249537404,25.767827900700002,4.5560639997,37.7101819529,26.8815927585,26.8781021354,0.0034906231,69.1478387111,48569.697480910705,402007.550713144,286569.905115559,286532.693498507,37.2116170521,737147.153309614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,MESSAGEix-GLOBIOM_1.0,NPi_v3,Asia (No Japan),Fossils,EJ/yr,2050,42.341849264400004,2.1341630716,69.4012995974,28.464537331,4.2087466222000005,37.4972189084,29.2131938283,29.2122013372,0.0009924912,70.9191593589,47564.8784091033,423772.400232047,330151.025261425,330139.808686705,11.2165747201,801488.303902575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
