,Model,Scenario,Region,Year,CAPCOST,OMCOST,FUELCOST,CAPCOST_MWh,OMCOST_MWh,FUELCOST_MWh,CAPCOST_p,OMCOST_p,FUELCOST_p,Variable
130,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2020,745559.816289061,71284.2479029735,154976.162221477,80.6574608634,7.7117976449,16.7659032395,76.71787395,7.33512701,15.94699904,Aggregate
131,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2030,764170.517158643,70563.7573514501,149972.194340157,75.897153929,7.0083682022,14.8951869554,77.60388921,7.1659687,15.23014209,Aggregate
132,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2040,779954.655828627,72669.6743057908,178817.759002887,69.3589078412,6.4622849615,15.90169938,75.61788142,7.04544395,17.33667463,Aggregate
133,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2050,714031.097635328,73261.5701591324,268076.245893658,55.5184909958,5.6963510927,20.8438941849,67.65701437,6.94179724,25.40118838,Aggregate
134,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2060,893115.454475265,80849.6487594793,309772.506442301,59.1281858048,5.3526036641,20.5083074381,69.57149559,6.29798863,24.13051578,Aggregate
135,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2070,1173425.62970173,92692.7929289626,358597.061326397,65.0531136302,5.1387617915,19.8801311199,72.22345335,5.70517077,22.07137587,Aggregate
136,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2080,1321432.09204056,101457.186453784,383504.842613335,72.7479102821,5.5854541009,21.1128336077,73.15303325,5.61655872,21.23040803,Aggregate
137,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2090,1526649.85976071,107854.713940284,366761.555990384,80.0317227569,5.6540787718,19.2267788054,76.28420014,5.38932391,18.32647595,Aggregate
138,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2100,1629461.69162135,117081.637520282,455551.448767377,79.5436176974,5.7154439789,22.2381480145,73.99598364,5.31683008,20.68718628,Aggregate
139,CD_Links_SSP2_v2,NPi_v3,OECD90 + EU,2110,1767654.16521662,135832.840828804,487151.633781483,78.5078708762,6.0328243716,21.6361539008,73.94066739,5.68186419,20.37746842,Aggregate
140,CD_Links_SSP2_v2,NPi_v3,Central Asia,2020,118475.943835373,13223.0750947088,34732.2631145476,55.1774334829,6.1583417094,16.175749065,71.18610298,7.94506593,20.86883108,Aggregate
141,CD_Links_SSP2_v2,NPi_v3,Central Asia,2030,127792.846577466,13773.5700481343,27420.5371848789,53.2162028473,5.7356660975,11.4186115115,75.6229068,8.15067065,16.22642255,Aggregate
142,CD_Links_SSP2_v2,NPi_v3,Central Asia,2040,115132.859745279,12657.8897105153,31193.9555130623,45.364555419,4.9874513717,12.291016889,72.41756983,7.9617028,19.62072736,Aggregate
143,CD_Links_SSP2_v2,NPi_v3,Central Asia,2050,114509.674584005,13354.5759361807,39225.5240821493,41.2237738406,4.8076812735,14.1212883489,68.53182659,7.99245553,23.47571787,Aggregate
144,CD_Links_SSP2_v2,NPi_v3,Central Asia,2060,133031.796205271,14639.6569109904,57907.1341889691,43.0554115157,4.7380887181,18.7415006286,64.7109205,7.12119735,28.16788215,Aggregate
145,CD_Links_SSP2_v2,NPi_v3,Central Asia,2070,172211.929998063,18211.4474850225,78091.2122105672,43.7157333274,4.6229479094,19.8233340062,64.13503646,6.78229347,29.08267007,Aggregate
146,CD_Links_SSP2_v2,NPi_v3,Central Asia,2080,216321.107365791,21557.1111492327,91888.6414273878,50.5822007939,5.0406829827,21.4862514711,65.59819486,6.53707627,27.86472887,Aggregate
147,CD_Links_SSP2_v2,NPi_v3,Central Asia,2090,274313.587773095,27515.8491689867,85001.5385933109,59.3824551456,5.9565357018,18.4008385943,70.9130357,7.11314525,21.97381905,Aggregate
148,CD_Links_SSP2_v2,NPi_v3,Central Asia,2100,328358.383272586,34514.666754259,107864.678799294,66.8999155507,7.0320369716,21.9764083093,69.75399743,7.33203749,22.91396508,Aggregate
149,CD_Links_SSP2_v2,NPi_v3,Central Asia,2110,365433.897878739,43628.1688086677,97955.6247979731,69.6711718847,8.3178535591,18.6755613313,72.07517687,8.60486124,19.3199619,Aggregate
170,CD_Links_SSP2_v2,NPi_v3,World,2020,1616559.54266753,175480.187166389,409985.995336741,63.753545326,6.9205518084,16.1689440116,73.41238225,7.96903438,18.61858336,Aggregate
171,CD_Links_SSP2_v2,NPi_v3,World,2030,1891408.18509388,199430.604131575,460334.176568173,60.2699101172,6.354876055,14.6685943649,74.13876717,7.81721219,18.04402064,Aggregate
172,CD_Links_SSP2_v2,NPi_v3,World,2040,2141815.12357535,220820.632510345,606276.212405192,56.9140852362,5.8678287226,16.1104736117,72.14141565,7.43776289,20.42082146,Aggregate
173,CD_Links_SSP2_v2,NPi_v3,World,2050,2437434.60822358,245683.154029904,799751.942871865,54.1105884634,5.4541196696,17.7543422529,69.98351402,7.05404379,22.9624422,Aggregate
174,CD_Links_SSP2_v2,NPi_v3,World,2060,3372923.7979548,304821.408453694,1091782.71182361,58.6965420307,5.3045854828,18.9995012255,70.71818964,6.39101843,22.89079193,Aggregate
175,CD_Links_SSP2_v2,NPi_v3,World,2070,4527215.38665669,370188.719328081,1321771.62432313,66.6415169406,5.4492520685,19.4567429581,72.79445996,5.95237593,21.25316411,Aggregate
176,CD_Links_SSP2_v2,NPi_v3,World,2080,5578198.97451912,439730.445265702,1555101.28138072,72.8309227473,5.741274959,20.3039478882,73.65873974,5.80653192,20.53472834,Aggregate
177,CD_Links_SSP2_v2,NPi_v3,World,2090,6870532.99726658,523568.415156341,1706796.64129458,78.9241013615,6.0144048044,19.606541614,75.49291242,5.75293133,18.75415625,Aggregate
178,CD_Links_SSP2_v2,NPi_v3,World,2100,8371942.73560415,628620.827366644,2155458.10679246,82.8672790526,6.2222233435,21.335185161,75.04415986,5.63481182,19.32102833,Aggregate
179,CD_Links_SSP2_v2,NPi_v3,World,2110,10206706.185459,798333.905879096,2639159.31043744,86.9633755356,6.8019799922,22.4862162231,74.80619335,5.85108648,19.34272018,Aggregate
95,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2020,598955.676833503,72314.1471206809,174762.25746353,58.3237841171,7.0416474347,17.0176134401,70.79585869,8.5474474,20.65669391,Aggregate
96,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2030,1304155.81315002,116862.588837091,415911.169638741,92.9853150889,8.3322134791,29.6541492726,70.99650598,6.36184373,22.64165029,Aggregate
97,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2040,2168270.38411513,182687.399127948,566049.382497856,105.9737777019,8.9288097859,27.6655494022,74.33202118,6.26283683,19.40514199,Aggregate
98,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2050,3058303.13494854,273801.404747656,517790.885288985,113.5515818149,10.1659584549,19.2250314895,79.4386028,7.11191797,13.44947922,Aggregate
99,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2060,3982928.97373844,404604.072563157,546797.16024447,113.6256479092,11.5426110269,15.5991186429,80.71873602,8.19977698,11.081487,Aggregate
100,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2070,5233299.56398802,525176.820978868,761952.71865643,117.6138240803,11.8028890719,17.1242199904,80.26004855,8.05432913,11.68562232,Aggregate
101,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2080,5910039.40149934,571833.545666399,1097689.01697412,122.6307324195,11.8652959419,22.7765669525,77.97336349,7.54441415,14.48222235,Aggregate
102,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2090,6475758.29673002,566706.420212628,1371311.77952262,132.1823732594,11.5675409941,27.9910455564,76.96613167,6.73545845,16.29840988,Aggregate
103,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2100,7132176.2101538,518152.201490445,1598388.9495607,147.3288632873,10.7034336514,33.0178083226,77.11530077,5.60242227,17.28227696,Aggregate
104,CD_Links_SSP2_v2,NPi2020_400_v3,Asia (No Japan),2110,8209605.10626226,436181.360907566,977504.787990578,172.8040101646,9.181183181,20.5755021263,85.30974371,4.53255907,10.15769722,Aggregate
105,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2020,70411.2780009998,9568.5321383526,13053.477612394,48.8261586192,6.6352249413,9.051833549,75.68396184,10.28506287,14.03097529,Aggregate
106,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2030,178286.637198862,19648.9341703365,35509.3076636809,80.0168794073,8.8186440705,15.9369430811,76.37204891,8.41694804,15.21100305,Aggregate
107,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2040,352629.93194103,31332.8403496638,66751.5677457115,95.5146039936,8.4869251499,18.0805682719,78.23801034,6.95181794,14.81017172,Aggregate
108,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2050,495658.501280666,40582.501706327,84967.3259097411,104.8468939272,8.5844371492,17.9731815028,79.78941657,6.53283284,13.6777506,Aggregate
109,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2060,615442.730467855,48356.0337252761,117360.955994778,111.5815329399,8.7670876636,21.2778780687,78.78577384,6.19028766,15.02393851,Aggregate
110,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2070,789739.827492713,57609.8981880063,105720.876569208,118.1470041939,8.6185812667,15.8161009646,82.86267834,6.04466217,11.09265949,Aggregate
111,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2080,1036348.75131313,69630.9670319246,101744.762940885,126.2734939734,8.4841569836,12.3970494428,85.81003096,5.76546788,8.42450116,Aggregate
112,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2090,1541922.81550675,89225.8432113164,40711.0363589234,138.1060136255,7.9917265601,3.6463815734,92.22800335,5.33692172,2.43507493,Aggregate
113,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2100,1772122.09957256,100380.03333246,413.5632014839,144.5011262252,8.1851176454,0.0337224779,94.61835913,5.35955962,0.02208125,Aggregate
114,CD_Links_SSP2_v2,NPi2020_400_v3,Latin America,2110,2029826.19925727,112436.082373119,0,155.6047523881,8.6192545764,0,94.75152584,5.24847416,0,Aggregate
115,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2020,83156.8277085972,9090.1849096732,32461.834924792,36.891369861,4.0327340863,14.4012415045,66.68077634,7.2891259,26.03009776,Aggregate
116,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2030,209514.17528915,21395.668488523,144221.28915182,57.6004768963,5.8821829442,39.6498949166,55.85091636,5.70351715,38.44556649,Aggregate
117,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2040,446691.686569273,43238.5495485867,310421.638763531,69.9411163054,6.7701112731,48.6045220748,55.81191231,5.40244246,38.78564523,Aggregate
118,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2050,754784.621343771,71378.0420874808,510573.000190423,77.2375680536,7.3041583352,52.2472447549,56.46476277,5.33972752,38.19550971,Aggregate
119,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2060,1336357.60900872,125684.056596043,834783.879077502,88.0564733286,8.2816865058,55.0063275635,58.18280853,5.47207675,36.34511472,Aggregate
120,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2070,2297145.72632028,215926.876731777,1147239.83355087,101.2211010441,9.5145710424,50.5518120958,62.75818707,5.89913786,31.34267507,Aggregate
121,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2080,3476184.74476183,295385.719589811,464469.391217303,120.1089983375,10.2061557449,16.048328105,82.062135,6.97315723,10.96470777,Aggregate
122,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2090,4818785.86616872,364232.574669292,467862.981586873,136.2744442028,10.3004352242,13.2310854953,85.27494219,6.4455887,8.27946911,Aggregate
123,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2100,6784112.85275009,450172.613389564,618531.766883935,154.1075512221,10.2260974401,14.0505351277,86.39081557,5.73262563,7.8765588,Aggregate
124,CD_Links_SSP2_v2,NPi2020_400_v3,Middle East + Africa,2110,9891417.74180432,600559.854189625,941062.601971388,173.2355165193,10.5180368737,16.4815065125,86.51607596,5.25284477,8.23107927,Aggregate
125,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2020,745559.816289061,71284.2479029735,154976.162221477,80.6574608634,7.7117976449,16.7659032395,76.71787395,7.33512701,15.94699904,Aggregate
126,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2030,912994.402385039,84861.8038986155,369408.330584388,88.040074003,8.1832259604,35.6220549403,66.77525656,6.20668507,27.01805837,Aggregate
127,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2040,1417898.5112956,138241.823335679,542717.933190065,101.5349520668,9.8994228389,38.8637401713,67.55570555,6.58652494,25.85776951,Aggregate
128,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2050,1827709.32487813,175620.170001097,699756.187790456,103.9884420525,9.9919979741,39.8129805404,67.61566371,6.49702564,25.88731065,Aggregate
129,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2060,2433256.73844075,218279.390041312,773524.155450263,110.4161947102,9.9050705383,35.1009379372,71.04274193,6.3730087,22.58424937,Aggregate
130,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2070,3207306.78722937,250085.714417686,664073.938772118,122.9253100149,9.5849465032,25.4517263897,77.81955364,6.06788186,16.11256451,Aggregate
131,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2080,3622740.0472202,272392.063695085,495619.746760224,127.8269271458,9.6112445351,17.4877436513,82.50842144,6.20376811,11.28781044,Aggregate
132,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2090,3896564.26058418,256739.253476419,380282.986538445,133.461483524,8.79359337,13.0250980475,85.94882352,5.66304963,8.38812685,Aggregate
133,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2100,4121745.6417821,236441.43138516,301509.834715921,139.7684381689,8.0177314311,10.2242016741,88.45523053,5.07418049,6.47058898,Aggregate
134,CD_Links_SSP2_v2,NPi2020_400_v3,OECD90 + EU,2110,4660128.48902211,240161.74922642,151067.44287874,147.2620566248,7.5892141594,4.7737959114,92.25496952,4.75439999,2.99063049,Aggregate
135,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2020,118475.943835373,13223.0750947088,34732.2631145476,55.1774334829,6.1583417094,16.175749065,71.18610298,7.94506593,20.86883108,Aggregate
136,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2030,212633.974052315,25455.4658367181,76292.1155892633,77.8090227094,9.3149033601,27.9175281415,67.63563903,8.09699723,24.26736374,Aggregate
137,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2040,307661.333051072,37626.0031918822,98871.7661825138,85.6176527129,10.4707668081,27.5145675805,69.26827152,8.47128945,22.26043903,Aggregate
138,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2050,382069.345203552,48206.6101143605,97228.2170252709,92.803377332,11.7092257845,23.6164115891,72.42963473,9.13862158,18.43174369,Aggregate
139,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2060,490622.113670328,59637.1358152251,77149.7994464948,104.7720357878,12.7354718709,16.4752898889,78.19812521,9.50530374,12.29657105,Aggregate
140,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2070,708811.425759025,77655.0545272134,70487.7247452327,113.6916699791,12.4556863937,11.3060637118,82.71287096,9.0617508,8.22537824,Aggregate
141,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2080,869811.074470128,85880.1783951457,78525.7866862116,121.2107785604,11.9676600951,10.9428035819,84.10334013,8.30388353,7.59277634,Aggregate
142,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2090,925953.89647511,80280.1232298355,84741.515945309,132.2151873773,11.4630453805,12.1000791206,84.8739377,7.3585631,7.76749919,Aggregate
143,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2100,1048662.32514203,78704.3378509757,65602.801101128,139.5982206445,10.4771433641,8.7330631448,87.90353456,6.59734723,5.49911822,Aggregate
144,CD_Links_SSP2_v2,NPi2020_400_v3,Central Asia,2110,1102321.07323034,77075.5572273784,45917.8776370612,141.2760927163,9.8781868853,5.8849445011,89.9622967,6.29026725,3.74743605,Aggregate
164,CD_Links_SSP2_v2,NPi2020_400_v3,World,2020,1616559.54266753,175480.187166389,409985.995336741,63.753545326,6.9205518084,16.1689440116,73.41238225,7.96903438,18.61858336,Aggregate
165,CD_Links_SSP2_v2,NPi2020_400_v3,World,2030,2817585.00207539,268224.461231284,1041342.21262789,85.3972565239,8.1295269193,31.5616984032,68.26948034,6.49902117,25.23149849,Aggregate
166,CD_Links_SSP2_v2,NPi2020_400_v3,World,2040,4693151.84697211,433126.61555376,1584812.28837968,97.5766312751,9.0052564757,32.9502750701,69.93128273,6.45389299,23.61482428,Aggregate
167,CD_Links_SSP2_v2,NPi2020_400_v3,World,2050,6518524.92765465,609588.728656921,1910315.61620488,103.2622596734,9.6567107269,30.2619855578,72.12010772,6.74441001,21.13548227,Aggregate
168,CD_Links_SSP2_v2,NPi2020_400_v3,World,2060,8858608.16532609,856560.688741013,2349615.95021351,107.4229672299,10.3869918479,28.4923672559,73.4253309,7.09967648,19.47499262,Aggregate
169,CD_Links_SSP2_v2,NPi2020_400_v3,World,2070,12236303.3307894,1126454.36484355,2749475.09229385,115.219048504,10.6068799205,25.8895105373,75.94418162,6.99129897,17.06451942,Aggregate
170,CD_Links_SSP2_v2,NPi2020_400_v3,World,2080,14915124.0192646,1295122.47437837,2238048.70457874,123.4083981218,10.7159008352,18.5177143143,80.84825107,7.02028269,12.13146624,Aggregate
171,CD_Links_SSP2_v2,NPi2020_400_v3,World,2090,17658985.1354648,1357184.21479949,2344910.29995217,134.0683228932,10.3038430657,17.8027326507,82.66897285,6.35353754,10.97748961,Aggregate
172,CD_Links_SSP2_v2,NPi2020_400_v3,World,2100,20858819.1294006,1383850.61744861,2584446.91546317,147.2068018527,9.7662395159,18.2391995742,84.01627709,5.57394818,10.40977473,Aggregate
173,CD_Links_SSP2_v2,NPi2020_400_v3,World,2110,25893298.6095763,1466414.60392411,2115552.71047777,164.8217683711,9.3343475402,13.4663854181,87.84754878,4.97506827,7.17738295,Aggregate
95,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2020,598955.676833503,72314.1471206809,174762.25746353,58.3237841171,7.0416474347,17.0176134401,70.79585869,8.5474474,20.65669391,Aggregate
96,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2030,944802.101339145,102303.935324192,258370.214966776,71.9705628633,7.7930307288,19.68142299,72.37221666,7.83652213,19.79126121,Aggregate
97,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2040,1543535.43591,144725.655052401,375609.201857738,87.1195330346,8.1685403477,21.1999656814,74.7883935,7.01234257,18.19926393,Aggregate
98,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2050,2297345.88838534,215149.949576316,390663.5752173,102.009302979,9.5533269514,17.3466778375,79.13261249,7.41088996,13.45649755,Aggregate
99,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2060,2994999.50200407,293314.82318359,482836.70891569,106.0928197258,10.3901842515,17.103678275,79.41870996,7.77785935,12.80343069,Aggregate
100,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2070,3558435.28825164,379310.466197528,511744.142794265,109.8865119405,11.713323609,15.8029511014,79.97400535,8.5248079,11.50118676,Aggregate
101,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2080,4573333.05448787,451172.968054507,562936.625446475,119.5898598384,11.797896932,14.7204481574,81.85020129,8.07476687,10.07503183,Aggregate
102,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2090,5797710.88089799,543419.695367535,972823.590524579,125.4940251906,11.7625604899,21.0571983811,79.26917162,7.42990294,13.30092544,Aggregate
103,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2100,6912840.69157213,607459.311511795,1475730.48129709,132.719599249,11.6626087568,28.3325432794,76.84323329,6.75252616,16.40424056,Aggregate
104,CD_Links_SSP2_v2,NPi2020_1000_v3,Asia (No Japan),2110,7741489.42603716,659204.839381314,2282467.79967857,137.6521891697,11.7213864488,40.5847856975,72.46440126,6.17050303,21.36509571,Aggregate
105,CD_Links_SSP2_v2,NPi2020_1000_v3,Latin America,2020,70411.2780009998,9568.5321383526,13053.477612394,48.8261586192,6.6352249413,9.051833549,75.68396184,10.28506287,14.03097529,Aggregate
106,CD_Links_SSP2_v2,NPi2020_1000_v3,Latin America,2030,108856.275243651,12743.6459073597,33790.8019427254,51.7377078025,6.0568582456,16.060246719,70.05326513,8.20103392,21.74570095,Aggregate
107,CD_Links_SSP2_v2,NPi2020_1000_v3,Latin America,2040,242285.634971436,25041.1219507476,47709.0639856674,71.6307369099,7.403303207,14.1049856752,76.90732891,7.94865863,15.14401246,Aggregate
108,CD_Links_SSP2_v2,NPi2020_1000_v3,Latin America,2050,384505.847774184,32025.3975604718,47684.4814786198,92.3294628074,7.6900982653,11.4502356327,82.82912999,6.89881788,10.27205214,Aggregate
