Model;Scenario;Region;Emissions;Total energy investment;Total energy investment (supply side);Low carbon investment;Low carbon investment (supply side);Total_inv/GDP;LC_inv/GDP;Extraction and Conversion - Fossil Fuels;Electricity - Fossil Fuels w/o CCS;Hydrogen - Fossil;Electricity - Non-bio Renewables;Hydrogen - Non-fossil;Extraction and Conversion - Bioenergy;Extraction and Conversion - Nuclear;Electricity - T&D and Storage;CCS;Energy Efficiency;Energy Supply|Electricity|Coal|w/ CCS;Energy Supply|Electricity|Coal|w/o CCS;Energy Supply|Electricity|Gas|w/ CCS;Energy Supply|Electricity|Gas|w/o CCS;Energy Supply|Electricity|Oil|w/ CCS;Energy Supply|Electricity|Biomass|w/ CCS;Energy Supply|Electricity|Biomass|w/o CCS;Energy Supply|Electricity|Nuclear;Energy Supply|Electricity|Hydro;Energy Supply|Electricity|Solar;Energy Supply|Electricity|Wind;Energy Supply|Electricity|Geothermal;Energy Supply|Electricity|Ocean;Energy Supply|Electricity|Transmission and Distribution;Energy Supply|Electricity|Electricity Storage
WITCH-GLOBIOM;1.5C;World;438,0380932;2189,873341;1718,930321;1301,322507;830,3794872;2.41%;1.43%;457,5795729;45,83993817;0;485,5041278;0;115,6422141;262,9498282;234,40899;117,0056502;470,9430199;26,50680886;9,34385895;10,59685231;24,76649953;0;37,79367515;19,8676578;253,6304912;137,7848757;224,4544152;123,2648368;0;0;226,803464;7,60552602
WITCH-GLOBIOM;CPol;CHN;212,6467463;390,6372083;390,6372083;105,7325026;105,7325026;2.94%;0.80%;142,1330271;86,27261852;0;80,92547643;0;2,966161553;10,72058671;67,61861555;0,000722468;0;0,000361234;77,80828459;0,000120411;8,464213518;0;0,000120411;1,08977217;10,72058671;40,85183849;10,23231786;29,84132008;0;0;67,61849514;0,000120411
WITCH-GLOBIOM;NDC;CHN;164,330159;375,666235;340,022077;192,7180432;157,0738852;2.86%;1.47%;114,0417844;18,4946169;0;123,3475986;0;4,963549969;22,82591003;55,29715721;1,051459921;35,64415793;0,541020446;15,7179782;0,510198652;2,776518292;0;0,000120411;2,926575124;22,82591003;54,02908001;23,40937754;45,90914109;0;0;55,29703679;0,000120411
WITCH-GLOBIOM;2C;CHN;147,8591027;421,6832249;368,5165822;242,880804;189,7141613;3.25%;1.87%;86,20376959;3,62760737;0;142,3589366;0;3,087125315;42,267082;61,84349977;29,12856156;53,16664273;5,129915244;3,247221718;1,656820156;0,380265241;0;3,503404496;1,08977217;42,267082;40,85183849;60,31108608;41,196012;0;0;61,84337936;0,000120411
WITCH-GLOBIOM;1.5C;CHN;140,5859937;473,360453;409,5633839;287,1969172;223,3998481;3.68%;2.23%;79,35958161;3,678300532;0;161,2483681;0;13,03931256;55,56110527;73,32066578;23,35604998;63,79706912;0,000361234;3,247221718;1,006733003;0,430958402;0;3,51053408;8,781528674;55,56110527;40,85183849;79,3014934;41,09503625;0;0;73,32054536;0,000120411
WITCH-GLOBIOM;CPol;EU;49,71060992;284,3204944;284,3204944;109,0800246;109,0800246;1.27%;0.49%;135,7252362;13,07204109;0;72,64587249;0;10,31246236;18,38901083;34,17514889;0,000722468;0;0,000361234;0,000240823;0,000120411;13,07167986;0;0,000120411;3,041950744;18,331688;19,61749883;25,17379076;27,8545829;0;0;34,17502848;0,000120411
WITCH-GLOBIOM;NDC;EU;47,1775909;284,0964003;280,0924766;141,6108436;137,6069199;1.27%;0.64%;112,5086123;10,86917217;0;93,14493229;0;13,07155704;11,1607611;39,33671921;0,000722468;4,003923722;0,000361234;0,000240823;0,000120411;10,86881094;0;0,000120411;3,753554487;11,10615955;19,61749883;44,60015376;28,9272797;0;0;39,3365988;0,000120411
WITCH-GLOBIOM;2C;EU;40,25696834;285,5058289;258,3601375;167,7998742;140,6541828;1.28%;0.75%;82,93682884;6,888902963;0;86,1210435;0;10,11441721;18,97324888;37,69924659;15,62644951;27,14569137;0,000361234;0,000240823;1,725161396;6,888541729;0;10,7700325;0,375681045;18,91502166;19,61749883;36,17276538;30,33077929;0;0;37,69912618;0,000120411
WITCH-GLOBIOM;1.5C;EU;34,97934175;283,9054549;243,4060424;211,7335307;171,2341181;1.28%;0.96%;35,46985929;7,046488243;0;107,2014335;0;14,03689315;19,36370336;44,224526;16,06313888;40,49941256;0,000361234;0,000240823;0,798185324;7,046127009;0;10,79195029;0,375681045;19,30534912;19,61749883;50,32188689;37,26204773;0;0;44,22440558;0,000120411
WITCH-GLOBIOM;CPol;IND;45,75349115;106,1102361;106,1102361;23,18462772;23,18462772;3.13%;0.68%;34,34630342;29,81882344;0;16,64540859;0;2,800167088;3,565942777;18,93286837;0,000722468;0;0,000361234;23,54792121;0,000120411;6,270781821;0;0,000120411;0,231121367;3,565942777;3,86496025;6,572393305;6,208055033;0;0;18,93274796;0,000120411
WITCH-GLOBIOM;NDC;IND;45,61203535;107,0571146;108,5244465;24,73032992;26,19766187;3.15%;0.73%;31,89047132;27,34615265;0;17,34510394;0;4,718566464;8,330177716;18,89325196;0,000722468;-1,467331949;0,000361234;21,90759399;0,000120411;5,43843825;0;0,000120411;1,266698412;8,330177716;3,86496025;6,964783901;6,515359791;0;0;18,89313155;0,000120411
WITCH-GLOBIOM;2C;IND;31,94146429;101,1764269;86,64840682;61,77320715;47,24518703;3.05%;1.86%;15,80265537;2,84680529;0;34,31030182;0;4,449508947;10,07120957;14,09856661;5,069359216;14,52802012;1,927159599;2,414054709;0,429076453;0,43263017;0;0,883894285;2,168198238;10,07120957;3,86496025;23,65323831;6,792103258;0;0;14,0984462;0,000120411
WITCH-GLOBIOM;1.5C;IND;27,95514415;122,1727728;100,8867481;85,63115341;64,34512869;3.75%;2.63%;13,11636264;2,84680529;0;33,61864773;0;21,37737628;9,939188812;14,55927764;5,429089666;21,28602472;1,500349336;2,414054709;0,429927495;0,43263017;0;0,885692942;2,606950211;9,939188812;3,86496025;22,9792566;6,774430882;0;0;14,2193719;0,339905736
WITCH-GLOBIOM;CPol;USA;85,20637684;250,2945042;250,2945042;47,91997637;47,91997637;1.11%;0.21%;121,9002042;43,04776654;0;27,05380215;0;10,01822687;18,68701036;29,58677158;0,000722468;0;0,000361234;21,80609305;0,000120411;21,24155308;0;0,000120411;1,406030527;18,62745848;10,24279699;6,991273219;9,81973194;0;0;29,58665117;0,000120411
WITCH-GLOBIOM;NDC;USA;70,67543143;261,8887707;237,1605753;96,5404046;71,81220921;1.16%;0.43%;106,3646425;19,48884433;0;45,9949735;0;12,20325073;25,27853377;27,82960803;0,000722468;24,7281954;0,000361234;6,994425035;0,000120411;12,49429888;0;0,000120411;1,406029963;25,20715297;10,24279699;16,26085414;19,49132237;0;0;27,82948762;0,000120411
