Model;Scenario;Region;Emissions;Total energy investment;Total energy investment (supply side);Low carbon investment;Low carbon investment (supply side);Total_inv/GDP;LC_inv/GDP;Extraction and Conversion - Fossil Fuels;Electricity - Fossil Fuels w/o CCS;Hydrogen - Fossil;Electricity - Non-bio Renewables;Hydrogen - Non-fossil;Extraction and Conversion - Bioenergy;Extraction and Conversion - Nuclear;Electricity - T&D and Storage;CCS;Energy Efficiency;Energy Supply|Electricity|Coal|w/ CCS;Energy Supply|Electricity|Coal|w/o CCS;Energy Supply|Electricity|Gas|w/ CCS;Energy Supply|Electricity|Gas|w/o CCS;Energy Supply|Electricity|Oil|w/ CCS;Energy Supply|Electricity|Biomass|w/ CCS;Energy Supply|Electricity|Biomass|w/o CCS;Energy Supply|Electricity|Nuclear;Energy Supply|Electricity|Hydro;Energy Supply|Electricity|Solar;Energy Supply|Electricity|Wind;Energy Supply|Electricity|Geothermal;Energy Supply|Electricity|Ocean;Energy Supply|Electricity|Transmission and Distribution;Energy Supply|Electricity|Electricity Storage
AIM/CGE;CPol;World;1439,328372;1884,881435;1602,821003;656,5820926;374,5216601;1.78%;0.62%;682,2919241;227,6370896;0;182,8812606;0;26,11557874;80,15359365;403,7415558;0;282,0604324;0;91,03893178;0;107,9868566;0;0;14,53924148;72,30846831;96,8038425;46,36774905;37,01653029;2,348617233;0;398,0773169;5,664238983
AIM/CGE;NDC;World;1271,497143;2036,863716;1712,494858;918,3979834;594,0291259;1.93%;0.87%;640,3901115;151,9699978;0;278,9159;0;41,51938431;97,59615177;494,2129323;7,89038082;324,3688575;2,3453112;55,60655181;3,421285914;78,16959871;1,039426669;0,078757809;27,06169888;88,17265875;84,9688598;85,06346762;106,885769;1,745822936;0;486,2024846;8,010447734
AIM/CGE;2C;World;743,9995959;3025,657722;2348,850772;2155,737035;1478,930085;2.91%;2.07%;429,3588973;128,4105244;0;550,2274228;0;107,9062415;83,84128848;934,1120245;114,9943729;676,8069501;17,9992541;28,51494956;36,84978449;81,6926713;11,63618903;21,27557459;85,02595214;74,9319397;79,17390751;230,2726857;237,8667255;2,54274301;0;885,8529482;48,25907625
AIM/CGE;1.5C;World;637,0950489;3724,647523;2838,744222;2946,681693;2060,778392;3.60%;2.85%;275,078599;130,4493202;0;802,8235666;0;101,4650056;109,7430959;1284,911385;134,2732496;885,9033009;17,35650169;27,19074442;42,1341853;86,77325651;10,97165313;32,49395809;76,15339229;99,87976056;97,84386857;352,9910135;348,7433933;2,853895207;0;1200,041795;84,8695903
AIM/CGE;CPol;CHN;290,8780493;250,7900374;250,7900374;119,7250111;119,7250111;1.49%;0.71%;70,1488136;16,37621248;0;64,29110881;0;1,251512791;5,972257514;92,75013222;0;0;0;14,99741509;0;0,800181074;0;0;0,33419815;5,972257514;12,82015875;29,68416247;21,78678759;0;0;87,13966247;5,610469751
AIM/CGE;NDC;CHN;306,2965649;277,9380754;280,0442324;116,8640631;118,9702201;1.65%;0.69%;97,63653108;18,88326617;0;64,95641492;0;1,36246754;3,940449537;93,26510313;0;-2,106156986;0;17,44619937;0;0,831604691;0;0;0,348962716;3,940449537;14,2674185;27,64593499;23,04306144;0;0;87,81189743;5,453205697
AIM/CGE;2C;CHN;138,168422;565,0423346;471,1971235;492,4108333;398,5656222;3.48%;3.03%;25,04861215;8,075020193;0;176,7620205;0;3,288650174;5,385839649;249,5859644;3,051016446;93,84521107;0,574029171;7,397940316;0,035386509;0,40619016;0,061595631;0,457521406;1,238547987;5,385839649;11,00200528;89,8055486;75,95446663;0;0;217,9916137;31,59435068
AIM/CGE;1.5C;CHN;121,8524701;729,7749888;593,4498364;657,6030193;521,277867;4.53%;4.08%;17,92834599;8,075035721;0;226,130461;0;7,068006311;5,385839649;324,5551898;4,306957986;136,3251524;0,4636055;7,397924787;0,032125509;0,406221217;0,048983326;0,372337874;5,248407133;5,385839649;8,87822468;120,1323206;97,1199157;0;0;281,5545102;43,00067959
AIM/CGE;CPol;EU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIM/CGE;NDC;EU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIM/CGE;2C;EU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIM/CGE;1.5C;EU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AIM/CGE;CPol;IND;92,00912405;50,96593762;50,96593762;12,06957988;12,06957988;0.93%;0.22%;16,97440255;8,064546171;0;7,930696097;0;0,715182333;2,508354989;14,77275548;0;0;0;6,843531494;0;0,93837449;0;0;0,134752284;2,508354989;3,049460483;3,359559843;1,521675771;0;0;14,77275548;0
AIM/CGE;NDC;IND;87,79313865;57,90180805;59,39699535;14,16562173;15,66080903;1.06%;0.26%;20,06615355;7,198946331;0;9,473264009;0;0,769637927;5,194176703;16,69481683;0;-1,495187303;0;6,213245414;0;0,750233424;0;0;0,145032199;5,194176703;4,756497706;3,255676806;1,461089497;0;0;16,69481683;0
AIM/CGE;2C;IND;29,60095725;119,537666;103,1794733;92,92960417;76,57141143;2.29%;1.78%;8,784932129;1,441647726;0;32,78638283;0;4,084950659;3,542849783;48,3054632;4,233246963;16,35819273;1,257525454;0,990642109;0,372626706;0,357236339;0,147378566;0,833669991;1,76955991;3,542849783;3,397865723;22,01327801;7,375239097;0;0;43,6529945;4,6524687
AIM/CGE;1.5C;IND;24,68559375;200,8060088;168,0544657;171,2262162;138,4746731;3.95%;3.37%;5,366357503;1,21539644;0;58,10310353;0;5,000872387;5,704215737;88,11572635;4,548793746;32,75154306;0,973268743;0,990704223;0,238121326;0,176368856;0,11039572;1,451309603;2,425210359;5,704215737;4,743158663;44,5469992;8,812945671;0;0;75,11858537;12,99714098
AIM/CGE;CPol;USA;255,5124765;217,1891799;217,1891799;47,90152611;47,90152611;0.91%;0.20%;45,31670079;52,40133976;0;19,62342621;0;8,075327659;20,96331721;70,80906827;0;0;0;15,19962659;0;29,91618728;0;0;4,340552497;20,89780638;10,60328281;3,196467916;5,318605593;0,480435366;0;70,80906827;0
AIM/CGE;NDC;USA;188,8487025;255,8730854;241,8011924;143,4162751;129,344382;1.08%;0.61%;20,97812791;23,958053;0;56,93785662;0;13,59134022;20,85257062;103,5548843;1,92835974;14,07189307;0,444784871;3,772181937;0,750585923;16,42243637;0,227064983;0,028963891;9,241133606;20,77881714;6,77041211;17,40516668;32,25720794;0,480435366;0;102,3479416;1,206942686
AIM/CGE;2C;USA;149,8610795;399,6242472;353,9717327;284,1679474;238,515433;1.69%;1.20%;20,92851723;24,82547279;0;77,38147246;0;40,31453954;18,20349657;155,6028263;16,71540772;45,65251449;0,943925954;0,914583166;7,715603643;20,18719876;1,805826889;2,590957671;34,60947439;18,13259329;5,997225904;27,3315016;43,54767507;0,480435366;0;152,7803377;2,822488671
AIM/CGE;1.5C;USA;127,4871881;496,8694652;421,5716469;375,8799474;300,5821291;2.11%;1.60%;13,3482513;25,36576148;0;116,6761902;0;19,15191977;27,44828481;198,4352601;21,14597935;75,29781822;0,906651171;0,914583166;9,029581666;21,04048444;1,685716494;5,182952651;13,2952585;27,3676459;8,753367201;42,9134851;64,50426796;0,480435366;0;192,1228213;6,312438823
AIM/CGE;CPol;R5OECD90+EU;528,2152999;494,4132486;494,4132486;144,7223875;144,7223875;0.86%;0.25%;67,70766317;125,702649;0;63,19074803;0;16,56966276;40,95446033;180,2880653;0;0;0;40,09606185;0;67,94471457;0;0;10,62096519;40,77103761;41,18606353;9,307835031;10,85679295;1,495573796;0;180,234296;0,053769231
AIM/CGE;NDC;R5OECD90+EU;401,5491006;607,8072997;573,8252891;361,5973987;327,6153881;1.07%;0.63%;31,260519;69,42626452;0;141,7412936;0;25,5027592;45,85677526;252,1473122;7,890365291;33,98201063;2,345326729;13,156152;3,421270386;46,50813044;1,039442197;0,07874228;18,09432623;45,63902114;34,75368823;37,90387634;67,66149362;1,170268859;0;249,5900546;2,557257566
AIM/CGE;2C;R5OECD90+EU;319,0614549;892,05604;785,6830595;641,59526;535,2222795;1.57%;1.13%;29,02334567;77,30034655;0;184,4552537;0;58,75298046;39,30018208;354,9928327;41,85811836;106,3729805;6,86247014;10,53065879;16,79286734;56,08288608;4,414757329;6,555293257;49,43266356;39,09158845;29,00111652;57,61405913;95,89823174;1,570483624;0;348,5918158;6,4010169
AIM/CGE;1.5C;R5OECD90+EU;274,8561703;1196,297752;1010,237825;915,3095075;729,2495803;2.10%;1.61%;19,06378581;86,52499502;0;270,6158273;0;42,05372867;56,46523608;476,7549328;58,75931922;186,0599272;7,318926286;10,2994632;25,18380855;66,04004833;4,656412957;12,61494868;32,15799745;56,23255045;39,65272269;88,46308186;140,2493598;1,859249833;0;463,0176318;13,73730102
AIM/CGE;CPol;R5REF;142,1373635;125,8333185;125,8333185;23,27136335;23,27136335;4.59%;0.85%;46,79672428;26,31238009;0;5,857670633;0;1,124029431;6,041899744;39,70061436;0;0;0;8,793224386;0;15,95550931;0;0;0,617093006;5,947956853;3,9362444;1,717455341;0,196737683;0,007233209;0;39,70061436;0
AIM/CGE;NDC;R5REF;134,023184;126,8549383;128,6465745;38,46249695;40,25413324;4.68%;1.42%;40,72673304;19,74470746;0;14,86095;0;2,876261009;6,010206551;44,42771648;0;-1,791636288;0;6,383991374;0;12,24335773;0;0;2,030925954;5,916759953;3,030037346;10,27233479;1,552058974;0,006518894;0;44,42771648;0
AIM/CGE;2C;R5REF;70,7361233;247,4509136;199,8233038;173,2924372;125,6648274;9.73%;6.81%;32,75782734;13,44582508;0;40,56233827;0;6,93384256;6,041593229;79,59846487;20,48341247;47,6276098;2,968230526;2,566848011;7,997279506;9,832615339;0,97834348;2,07343076;5,489604669;5,947655599;9,185224537;28,3211623;3,048718217;0,007233209;0;76,55573447;3,0427304
AIM/CGE;1.5C;R5REF;60,7687986;289,4409802;225,6969847;227,7972461;164,0532506;11.69%;9.20%;23,6067874;10,17715396;0;60,24353853;0;7,02188956;6,0415777;100,2293367;18,37670088;63,74399549;2,779707457;2,367582277;6,3766681;6,986038747;0,834996131;2,4700988;5,420191954;5,94764007;11,94632877;43,940374;4,349602549;0,007233209;0;93,44196579;6,787370863
AIM/CGE;CPol;R5ASIA;485,4496244;382,8052979;382,8052979;144,0733096;144,0733096;1.25%;0.47%;100,6304536;46,26078825;0;78,65955154;0;3,632272614;18,61096057;135,0112714;0;0;0;32,07706409;0;10,01344089;0;0;1,228935801;18,5994101;20,33395618;33,5972926;24,11885757;0,609445184;0;129,4008016;5,610469751
